ID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Subject,Section,Topic,Difficulty,Date,Shift
399,"A particle of mass 'm' is kept at rest at a height 3R from the surface of earth, where 'R' is radius of earth and 'M' is the mass of earth. The minimum speed with which it should be projected, so that it does not return back is (g = acceleration due to gravity on the earth's surface)",[GM/2R]^1/2,[gR/4]^1/2,[2g/R]^1/2,[GM/R]^1/2,A,Physics,Mechanics,Gravitation,Easy,21-Sep-21,Shift 1
400,A body is projected from earth's surface with thrice the escape velocity from the surface of the earth. What will be its velocity when it will escape the gravitational pull?,2Ve,4Ve,2√2 Ve,Ve/2,C,Physics,Mechanics,Gravitation,Medium,20-Sep-21,Shift 2
401,"The depth at which acceleration due to gravity becomes g/n is [R = radius of earth, g = acceleration due to gravity, n = integer]",R(n-1)/n,(n-1)/nR,Rn/(n-1),n/R(n-1),A,Physics,Mechanics,Gravitation,Easy,20-Sep-21,Shift 2
402,The depth 'd' below the surface of the earth where the value of acceleration due to gravity becomes (1/n) times the value at the surface of the earth is R = radius of the earth),R(n-1/n),R(n/n+1),R/n,R/n^2,A,Physics,Mechanics,Gravitation,Easy,20-Sep-21,Shift 1
403,The ratio of energy required to raise a satellite of mass m to a height h above the earth's surface of that required to put it into the orbit at same height is [R = radius of the earth],h/R,3h/R,4h/R,2h/R,D,Physics,Mechanics,Gravitation,Medium,16-Oct-20,Shift 2
404,"As we go from the equator of the earth to pole of the earth, the value of acceleration due to gravity",decreases,decreases up to latitude of 45° and increases thereafter,remains same,increases,D,Physics,Mechanics,Gravitation,Medium,16-Oct-20,Shift 2
405,"The mass of earth is 81 times the mass of the moon and the distance between their centres is R. The distance from the centre of the earth, where gravitational force will be zero is",R/4,R/2,9R/10,R/81,C,Physics,Mechanics,Gravitation,Hard,16-Oct-20,Shift 1
406,"A body is thrown from the surface of the earth velocity v/s. The maximum height above the earth's surface upto which it will reach is (R = radius of earth, g = acceleration due to gravity)",vR/(2gR-v),2gA/(v^2(R-1)),vR^2/(gR-v),v^2R/(2gR-v^2),D,Physics,Mechanics,Gravitation,Medium,16-Oct-20,Shift 1
407,"A hole is drilled half way to the centre of the earth. A body weighs 300 N on the surface of the earth. How much will, it weigh at the bottom of the hole?",200 N,250 N,120 N,150 N,D,Physics,Mechanics,Gravitation,Medium,03-May-19,Shift 1
408,What is the minimum energy required to launch a satellite of mass 'm' from the surface of the earth of mass 'M' and radius 'R' at an altitude 2R ?,GMm/2R,2Gmm/3R,GMm/3R,5GMm/6R,B,Physics,Mechanics,Gravitation,Medium,02-May-19,Shift 2
409,The radius of the earth and the radius of orbit around the sun are 6371 km and 149 * 10^6 km respectively. The order of magnitude of the diameter of the orbit is greater than that of earth by,10^3,10^2,10^4,10^5,C,Physics,Mechanics,Gravitation,Medium,02-May-19,Shift 1
410,The kinetic energy of a revolving satellite (mass m) at a height equal to thrice the radius of the earth (R) is,mgR/8,mgR/16,mgR/2,mgR/4,A,Physics,Mechanics,Gravitation,Hard,02-May-19,Shift 1
411,A body is projected vertically from the surface of the earth of radius 'R' with velocity equal to half of the escape velocity. The maximum height reached by the body is,R/5,R/3,R/2,R/4,B,Physics,Mechanics,Gravitation,Medium,02-May-19,Shift 1
412,"Starting from mean position, a body oscillates simple harmonically with a period 'T'. After what time will its kinetic energy be 75% of the total energy? (sin 30° = 0.5)",T/8,T/12,T/16,T/24,B,Physics,Mechanics,Simple Harmonic Motion,Easy,15-May-24,Shift 1
413,"The maximum velocity of a particle, executing S.H.M. with an amplitude 7 mm is 4.4 ms^-1. The period of oscillation is ",100 s,10 s,0.1 s,0.01 s,D,Physics,Mechanics,Simple Harmonic Motion,Easy,15-May-24,Shift 1
414,"A simple pendulum of length 'L' has mass 'M' and it oscillates freely with amplitude 'A'. At extreme position, its potential energy is",MgA^2/L,2MgA^2/L,MgA/2L,MgA^2/2L,D,Physics,Mechanics,Simple Harmonic Motion,Medium,11-May-24,Shift 1
415,"A simple pendulum of length 'l' has a brass bob attached at its lower end. It's period is ' T '. A steel bob of the same size, having density 'x' times that of brass, replaces the brass bob. Its length is then so changed that the period becomes ' 2 T '. What is the new length?",4lx,4l/x,4l,2l,C,Physics,Mechanics,Simple Harmonic Motion,Hard,10-May-24,Shift 2
416,"A particle performing S.H.M. with maximum velocity 'V'. If the amplitude double and periodic time is made, (1/3)rd then the maximum velocity is",6V,V/3,3V/2,2V/3,A,Physics,Mechanics,Simple Harmonic Motion,Hard,10-May-24,Shift 1
417,"Let 'l1' be the length of simple pendulum. Its length changes to 'l2' to increase the periodic time by 20%. The ratio l2:l1 = 
 ",1.22,1.33,1.44,1.55,C,Physics,Mechanics,Simple Harmonic Motion,Medium,10-May-24,Shift 1
418,"In S.H.M. the displacement of a particle at an instant is Y = A cos 30°, where A = 40 and kinetic energy is 200 J . If force constant is 1 * 10 * N/m, then x will be ",4,3,2,1,A,Physics,Mechanics,Simple Harmonic Motion,Medium,09-May-24,Shift 1
419,"A mass 'm' attached to a spring oscillates with a period of 3 second. If the mass is increased by 0.6 kg , the period increases by 3 second. The initial mass 'm' is equal to",0.1 kg,0.2 kg,0.3 kg,0.4 kg,B,Physics,Mechanics,Simple Harmonic Motion,Medium,04-May-24,Shift 2
420,The velocity of particle executing S.H.M. varies with displacement (x) as  4 V^2 = 50 - x^2. The time period of oscillation is x/7 second. The value of 'x' is (Take pi = 22/7),22,44,66,88,D,Physics,Mechanics,Simple Harmonic Motion,Easy,04-May-24,Shift 1
421,The period of a simple pendulum gets doubled when,its length is doubled,its length is made four times,its length is made half,the mass of the bob is doubled,B,Physics,Mechanics,Simple Harmonic Motion,Medium,03-May-24,Shift 2
422,"Choose the correct answer. When a point of suspension of pendulum is moved vertically upward with acceleration 'a', its period of oscillation
",decreases,increases,remains same,some times increases and some times decreases,A,Physics,Mechanics,Simple Harmonic Motion,Easy,02-May-24,Shift 1
423,A simple pendulum of length 'l' and a bob of mass 'm' is executing S.H.M. of small amplitude 'A'. The maximum tension in the string will be (g = acceleration due to gravity),2 mg,mg[1 + (A/l)^2],mg[1 + (A/l)]^2,mg[1 + (A/l)],B,Physics,Mechanics,Simple Harmonic Motion,Hard,14-May-23,Shift 1
424,"The upper end of the spring is fixed and a mass 'm' is attached to its lower end. When mass is slightly pulled down and released, it oscillates with time period 3 second. If mass 'm' is increased by 1 kg , the time period becomes 5 second. The value of 'm' is (mass of spring is negligible)",3/8 kg,5/9 kg,8/13 kg,9/16 kg,D,Physics,Mechanics,Simple Harmonic Motion,Medium,11-May-23,Shift 2
425,The amplitude of a particle executing S.H.M. is  3 cm. The displacement at which its kinetic energy will be 25% more than the potential energy is,1 cm,2 cm,3 cm,4 cm,B,Physics,Mechanics,Simple Harmonic Motion,Medium,10-May-23,Shift 1
426,"A rubber ball filled with water, having a small hole is used as the bob of a simple pendulum. The time period of such a pendulum",is a constant,decreases with time,increases with time,"first increases and then decreases, finally having same value as at the beginning.",D,Physics,Mechanics,Simple Harmonic Motion,Easy,09-May-23,Shift 1
427,"On the surface of the liquid in equilibrium, molecules of the liquid possess",maximum potential energy,minimum potential energy,maximum kinetic energy,minimum kinetic energy,A,Physics,Mechanics,Fluid Mechanics,Easy,16-May-24,shift 2
428,A liquid drop having surface energy ' E ' is spread into 512 droplets of same size. The final surface energy of the droplets is, 2 E,4 E,8 E,16 E,C,Physics,Mechanics,Fluid Mechanics,Easy,16-May-24,shift 2
429,"In most liquids, with rise in temperature, surface tension of a liquid",first increase then decrease,increase,decreases ,remain constant,C,Physics,Mechanics,Fluid Mechanics,Easy,16-May-24,shift 2
430,An optician makes spectacles having a combination of a convex lens of focal length 40 cm in contact with a concave lens of focal length 25 cm . The power of this combination of lenses in dioptre is,-6.67,-1.5,6.67,1.5,B,Physics,Optics ,Ray Optics,Medium,16-May-24,shift 2
431,"Optical path of a particular ray of light has travelled a distance of 3 cm in flint glass is same as that on travelling a distance 'x' cm through another medium. The value of 'x' is
[Refractive index of flint glass = 1.65, refractive index of another medium = 1.50]",2.7 cm,"3.0 cm
",3.3 cm,3.6 cm,C,Physics,Optics ,Ray Optics,Medium,16-May-24,shift 1
432,"Two identical galvanometers are converted into an ammeter and into milliammeter. For the same current, the value of shunt of the ammeter as compared to that of milliammeter is

",Equal,More,Less,Zero,B,Physics,Current ,current electricity,Easy,16-May-24,shift 1
433,"In amplitude modulation,",Frequency of carrier wave changes according to information signal,amplitude of carrier wave changes according to information signal,Phase of carrier wave changes according to information signal,Carrier wave is eliminated,B,Physics,Electromagnetic Waves,Electromagnetic Waves,Easy,09-May-20,shift 1
434,The first operation involved in a Carnot cycle is:,Isothermal expansion,Adiabatic expansion, Isothermal compression,Adiabatic compression,A,Physics,Heat and Thermodynamics,Heat and Thermodynamics,Easy,09-May-20,shift 1
435,"In the second orbit of hydrogen atom, the energy of an electron is 'E'. In the third orbit of helium atom, the energy of the electron will be:
(Atomic number of helium = 2)",4E/9,9E/4,16E/9,36E/4,C,Physics,Atoms and Nuclei,Atoms and Nuclei,Easy,9-May-20,shift 1
436,What is the photoelectric effect?,Emission of electrons due to heating of a material,Emission of electrons when a material is exposed to light or radiation above a threshold frequency,Emission of electrons due to chemical reactions,Emission of protons when exposed to light,B,Physics,radiation,radiation,Easy,09-May-20,shift 1
437,"If n(A)=4,n(B)=2. Then the number of subsets of the set A×B each having at least 3 elements are",275,510,219,256,C,Maths,Algebra ,Sets and Relations,Easy,2024,Shift 2
438,"Let A = {10, 11, 12, 14, 26} and let f : A → N be such that f(a) = highest prime factor of a, where a ∈ A, then range of f =","{5,7,13}","{5,7,11,13}","{3,5,7,11,13}","{3,7,11,13}",C,Maths,Algebra ,Sets and Relations,Medium ,2021,Shift 1
439,"If R={(a,b)/b=a−1,a∈Z,5<a<9, then the range of R is","{7,8,9}","{5,6,7}","{5,6,7,8,9}","{6,7,8}",B,Maths,Algebra ,Sets and Relations,Easy,2020,Shift 1
440,"If A={x,y,z},B={1,2}, then the total number of relations from set A to set B are :",8,64,32,16,B,Maths,Algebra ,Sets and Relations,Easy,2020,Shift 2
441,"If A={x∣x∈N,x is a prime number less than 12} and B={x∣x∈N,x is a factor of 10}, then A∩B= .............",   {2},"{2,5}","{2,5,10}","{1,2,5,10}",B,Maths,Algebra ,Sets and Relations,Easy,2019,Shift 2
442,"If A=(x∈R:x2−5|x|+6=0}, then n(A)=….....",2,0,1,4,D,Maths,Algebra ,Sets and Relations,Medium ,2019,Shift 2
443,"The approximate value of 32.001, if log⁡3=1.0986 is",9.00898,9.0989,9.0898,9.00989,D,Maths,Algebra ,Logarithms ,Easy,2024,Shift 1
444,The approximate value of log10⁡1002 is (Given log10⁡e=0.4343),3.0117,3.0009,2.9999,3.1119,B,Maths,Algebra ,Logarithms ,Easy,2024,Shift 2
445,"If f(x)=loge⁡(1−x/1+x),|x|<1, then f(2x/1+x2) is equal to",     2f(x^2),2f(-x),(f(x))^2,2f(x),D,Maths,Algebra ,Logarithms ,Medium ,2024,Shift 2
446,"If the half life of substance is 5 years, then the total amount of the substance left after 15 years, when initial amount is 64 gms is",     6 gm,8gm ,10 gm,"12 g,m",B,Maths,Algebra ,Logarithms ,Medium ,2024,Shift 2
447,If log2x+log4x+log8x+log16x=25/36 and x=2^k then k is,1,`1/2,`1/3,`1/8,C,Maths,Algebra ,Logarithms ,Easy,2023,Shift 2
448,The approximate value of log10⁡998 is (given that log10⁡e=0.4343 ),3.0008686,1.9991314,2.0008686,2.9991314,D,Maths,Algebra ,Logarithms ,Easy,2023,Shift 1
449,"If the population grows at the rate of 8% per year, then the time taken for the population to be doubled is (Given 
)",6.8 years,4.3 years,10.27 years ,8.64 years,D,Maths,Algebra ,Logarithms ,Medium ,2021,Shift 2
450,"Bismath has half life period of 5 days. A sample originally has a mass of 1000 mg, then the mass of Bismath after 30 days is",16.625 mg,13.625 mg,14.625 mg,15.625 mg,D,Maths,Algebra ,Logarithms ,Easy,2021,Shift 1
451,The equation  e^ sinx-e^-sinx=4 has ̱_________ solutions.,2,4,3,no,D,Maths,Algebra ,Quadratic Equations ,Easy,2024,Shift 1
452,"Let α,β be the roots of the equation x^2−px+r=0 and α/2,2β be the roots of the equation x^2−qx+r=0. Then the value of r is",2/9(p-q)(2q-p),2/9(q-p)(2p-q),2/9(2p-q)(2q-p),2/9(2p-q)(2q-p),D,Maths,Algebra ,Quadratic Equations ,Medium ,2024,Shift 1
453,"The equation (cosp−1)x^2+(cosp)x+sin⁡p=0 in the variable x, has real roots. Then p can take any value in the interval","(0,2π)","(-π,0)","(π/2,-π/2)","(0,π)",D,Maths,Algebra ,Quadratic Equations ,Medium ,2024,Shift 2
454,The equation x^3+x−1=0 has,no real root,exactly two real roots,exactly one real root,more than one real root,C,Maths,Algebra ,Quadratic Equations ,Easy,2023,Shift 1
455,The quadratic equation whose roots are the numbers having arithmetic mean 34 and geometric mean 16 is,x^2+68x+256=0,x^2+68x-256,x^2-68x+256=0,x^2-68x-256=0,C,Maths,Algebra ,Quadratic Equations ,Medium ,2020,Shift 2
456,The rational form of a number 1.41 is,140/99,154/99,41/99,55/99,A,Maths,Algebra ,Quadratic Equations ,Easy,2020,Shift 2
457,If A={x∈R/x2+5|x|+6=0} then n(A)=….....,0,4,1,2,A,Maths,Algebra ,Quadratic Equations ,Easy,2019,Shift 2
458,"S1=∑ nr=1 r,S2=∑ nr=1 r 2 and S3=∑ nr=1 r 3, then the value of limn→∞s1(1+s34)/s^22 is",`9/16,`9/2,`9/32,`9/8,C,Maths,Algebra ,Sequences and series,Medium ,2014,Shift 1
459,"If x,y,z are in A.P. and tan−1⁡x,tan−1⁡y and tan−1⁡z are also in A.P., then",x=y=z,2x=3y=6z,6x=3y=2z,6x=4y=2z,A,Maths,Algebra ,Sequences and series,Medium ,2023,Shift 1
460,"If for an arithmetic progression, 9 times nineth term is equal to 13 times thirteenth term, then value of twenty second term is",5,0,4,2,B,Maths,Algebra ,Sequences and series,Easy,2020,Shift 2
461,"For a sequence (tn), if Sn=5(2n −1) then tn= .........",5(2n+1),5*2n/4,5(2n-1),2(2n-1)/5,C,Maths,Algebra ,Sequences and series,Medium ,2019,Shift 2
462,"If A,B,C are pth, qth and rth terms of a GP respectively then Aq-r.Br-p.Cp-q",0,1,3,-1,B,Maths,Algebra ,Sequences and series,Medium ,2019,Shift 2
463,"If ∑nr=1(2r+1)=440, then n= ...............",20,22,21,19,A,Maths,Algebra ,Sequences and series,Easy,2019,Shift 1
464,If the sum of an infinite GP be 9 and sum of first two terms be 5 then their common ratio is ..........,`1/3,3,`2/3,`3/2,C,Maths,Algebra ,Sequences and series,Easy ,2019,Shift 2
465,"For a GP, if Sn=4n−3n3n, then t2= ...........",`1/9,`2/9,`7/9,`4/9,D,Maths,Algebra ,Sequences and series,Easy,2019,Shift 1
466,"For a GP, if th (m+n)th  term is p and (m−n)th term is q, then th mth  term is ......",pq,√pq,p/q,q/p,B,Maths,Algebra ,Sequences and series,Medium ,2019,Shift 2
467,"The value of 10Cr/11Cr, when both the numerator and denominator are at their greatest values, is",`6/11,`1/11,`4/11,`3/11,A,Maths,Algebra ,Binomial Theorem,Medium ,2023,Shift 2
468,"The difference between the maximum values of 6C r and nCr is 16, then n= ",3,5,2,4,D,Maths,Algebra ,Binomial Theorem,Easy,2021,Shift 2
469,"If 11C4+ 11C5+ 12C6+ 13C7=14C5, then value of r is",11,14,7,3,C,Maths,Algebra ,Binomial Theorem,Medium ,2021,Shift 1
470,"If the sum of the mean and the variance of a binomial distribution for 5 trials is 1.8 , then p=",0.4,0.18,0.8,0.2,D,Maths,Algebra ,Binomial Theorem,Easy,2020,Shift 2
471,"A five digit number divisible by 3 is to be formed using the digits 0,1,2,3,4,5 without repetition, then the total number of ways this can be done is",216,240,96,120,A,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 2
472,"Eight chairs are numbered 1 to 8 . Two women and three men wish to occupy one chair each. First the women choose chairs from amongst the chairs marked 1 to 4 , and then the men select the chairs from amongst the remaining. The number of possible arrangements is",6C3*4C2,4P2 * 6P3,4C2 + 4P3,4p2 +  6P3,B,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 2
473,"There are 3 sections in a question paper and each section contains 5 questions. A candidate has to answer a total of 5 questions, choosing at least one question from each section. Then the number of ways, in which the candidate can choose the questions, is",750,1500,2255,2250,D,Maths,Algebra ,Permutations and Combinations ,Medium ,2024,Shift 2
474,"The number of arrangements, of the letters of the word MANAMA in which two M's do not appear adjacent, is",40,60,80,100,A,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 1
475,"_________ numbers greater than a million can be formed with the digits 2, 3, 0, 3, 4, 2, 3.",60,420,360,120,C,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 1
476,"Words of length 10 are formed by using the letters A, B, C, D, E, F, G, H, I, J. Let x be number of such words where no letter is repeated and y be number of such words where exactly two letters are repeated twice and no other letter is repeated, then the value of y/x is",45,415,315,215,C,Maths,Algebra ,Permutations and Combinations ,Medium ,2024,Shift 2
477,"Consider a group of 5 boys and 7 girls. The number of different teams, consisting of 2 boys and 3 girls that can be formed from this group if there are two specific girls A and B , who refuse to be the members of the same team, is",350,300,200,500,B,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 1
478,"Five persons A,B,C,D and E are seated in a circular arangement, if each of them is given a hat of one of the three colours red, blue and green, then the number of ways, of distributing the hats such that the person seated in adjacent seats get different coloured hats, is",30,15,60,40,A,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 2
479,"The number of ways in which 5 boys and 3 girls can be seated on a round table, if a particular boy B1 and a particular girl G1 never sit adjacent to each other, is",7!,5*6!,6*6!,5*7!,B,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 2
480,"A committee of 11 members is to be formed from 8 males and 5 females. If m is the number of ways the committee is formed with at least 6 males and n is the number of ways the committee is formed with at least 3 females, then",m+n=68,m=n=78,m=n=68,n=m-8,B,Maths,Algebra ,Permutations and Combinations ,Medium ,2024,Shift 2
481,The number of four letter words that can be formed using letters of the word BARRACK,120,264,270,144,C,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 2
482,"Number of different nine digit numbers, that can be formed from the digits in the number 223355888 by rearranging its digits, so that the odd digits occupy even positions, is",16,40,60,180,C,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 1
483,"If 3 books on Physics, 2 books on Chemistry and 4 books on Mathematics are to be arranged on a shelf so that all the Physics books are together and all the Mathematics books are together, then the number of such arrangements is",576,288,3456,1152,C,Maths,Algebra ,Permutations and Combinations ,Easy,2024,Shift 1
484,"If in a regular polygon, the number of diagonals are 54, then the number of sides of the polygon are",10,12,9,6,B,Maths,Algebra ,Permutations and Combinations ,Easy,2023,Shift 1
485,"A linguistic club consists of 6 girls and 4 boys. A team of 4 members is to be selected from this group including the selection of a leader (from among these 4 members) for the team. If the team has to include at most one boy, the number of ways of selecting the team is",140,320,76,380,D,Maths,Algebra ,Permutations and Combinations ,Medium ,2023,Shift 2
486,"Five students are selected from n students such that the ratio of number of ways in which 2 particular students are selected to the number of ways 2 particular students not selected is 2:3. Then, the value of n is",5,6,11,not possible,C,Maths,Algebra ,Permutations and Combinations ,Medium ,2023,Shift 2
487,"Five persons A,B,C,D and E are seated in a circular arrangement. If each of them is given a cap of one of the three colours red, blue and green, then the number of ways of distributing the caps such that the persons seated in adjacent seats get different coloured caps, is",30,15,60,40,A,Maths,Algebra ,Permutations and Combinations ,Easy,2023,Shift 2
488,"The number of words that can be formed by using the letters of the word CALCULATE such that each word starts and ends with a consonant, are",5*7!,9!/8,5*7!/2,20*7!,C,Maths,Algebra ,Permutations and Combinations ,Easy,2023,Shift 2
489,"If Tn denotes the number of triangles which can be formed using the vertices of regular polygon of n sides and Tn+1−Tn=21, then ",5,7,6,4,B,Maths,Algebra ,Permutations and Combinations ,Easy,2023,Shift 2
490,"The teacher wants to arrange 5 students on the platform such that the boy B1 occupies second position and the girls G1 and G2 are always adjacent to each other, then the number of such arrangements is",24,12,8,16,C,Maths,Algebra ,Permutations and Combinations ,Medium ,2023,Shift 2
491,"Five students are to be arranged on a platform such that the boy B1 occupies the second position and such that the girl G1 is always adjacent to the girl G2. Then, the number of such possible arrangements is",4,7,8,6,C,Maths,Algebra ,Permutations and Combinations ,Easy,2023,Shift 1
492,"A group consists of 8 boys and 5 girls, then the number of committees of 5 persons that can be formed, if committee consists of at least 2 girls and at most 2 boys, are",300,320,321,322,C,Maths,Algebra ,Permutations and Combinations ,Easy,2023,Shift 2
493,"A linguistic club of a certain Institute consists of 6 girls and 4 boys. A team of 4 members to be selected from this group including the selection of a Captain (from among these 4 members) for the team. If the team has to include atmost one boy, the number of ways of selecting the team is",95,260,320,380,D,Maths,Algebra ,Permutations and Combinations ,Medium ,2023,Shift 2
494,"If at the end of certain meeting, everyone had shaken hands with everyone else, it was found that 45 handshakes were exchanged, then the number of members present at the meeting, are",10,15,20,21,A,Maths,Algebra ,Permutations and Combinations ,Easy,2023,Shift 2
495,"If a question paper consists of 11 questions divided into two sections I and II. Section I consists of 6 questions and section II consists of 5 questions, then the number of different ways can student select 6 questions, taking at least 2 questions from each section, is",425,275,350,225,A,Maths,Algebra ,Permutations and Combinations ,Hard,2022,Shift 2
496,"A committee of 5 is to be formed out of 6 men and 4 ladies. The number of ways this can be done, when at most 2 ladies are included, is",240,186,60,120,B,Maths,Algebra ,Permutations and Combinations ,Medium ,2021,Shift 1
497,"Out of 7 consonants and 4 vowels, the number of words consisting of 3 consonants and 2 vowels are",3300,210,120,25200,D,Maths,Algebra ,Permutations and Combinations ,,2021,Shift 2
498,"The numbers can be formed using the digits 1,2,3,4,3,2,1 so that odd digits always occupy odd places in __________ ways.",9,18,6,3,B,Maths,Algebra ,Permutations and Combinations ,Medium ,2021,Shift 2
499,A polygon has 44 diagonals. Then the number of sides of the polygon are,11,12,10,13,A,Maths,Algebra ,Permutations and Combinations ,Easy,2021,Shift 1
500,"For a set of five true or false questions, no student has written the all correct answers and no two students have given the same sequence of answers. The maximum number of students in the class for this to be possible is",30,31,32,16,B,Maths,Algebra ,Permutations and Combinations ,Easy,2021,Shift 2
501,The number of ways in which 8 different pearls can be arranged to form a necklace is,40320,5040,2520,1260,C,Maths,Algebra ,Permutations and Combinations ,Easy,2021,Shift 2
502,"If n!/2!(n−2)! and n!/4!(n−4)! are in the ratio 2:1, then n=",6,4,5,3,C,Maths,Algebra ,Permutations and Combinations ,Easy,2021,Shift 2
503,All the letters of the word 'ABRACADABRA' are arranged in different possible ways. Then the number of such arrangements in which the vowels are together is,1200,1240,1220,1260,D,Maths,Algebra ,Permutations and Combinations ,Medium ,2021,Shift 2
504,"Numbers are selected at random, one at a time from two digit numbers 10,11,12….,99 with replacement. An event E occurs if and only if the product of the two digits of a selected number is 18 . If four numbers are selected, then probability that the event E occurs at least 3 times is",87/904,348/904,87(4/90)4,(4/10)4,C,Maths,Algebra , Probability ,Medium ,2024,Shift 2
505,"Two friends A and B apply for a job in the same company. The probabilities of A getting selected is 2/5 and that of B is 4/7. Then the probability, that one of them is selected, is",`8/35,18/35,26/35,34/35,B,Maths,Algebra ,Probability ,Medium ,2024,Shift 1
506,"A random variable X takes the values 0,1,2,3 and its mean is 1.3 . If P(X=3)=2P(X=1) and P(X=2)=0.3, then P(X=0) is",0.2,0.1,0.3,0.4,D,Maths,Algebra ,Probability,Medium ,2024,Shift 1
507,"Three persons P,Q and R independently try to hit a target. If the probabilities of their hitting the target are 34,12 and 58 respectively, then the probability that the target is hit by P or Q but not by R, is",15/64,21/64,39/64,`9/64,B,Maths,Algebra ,Probability,Medium ,2024,Shift 2
508,"A box contains 15 green and 10 yellow balls. If 10 balls are randomly drawn, one by one, with replacement, then the variance of the number of green balls drawn is",6,4,`6/25,`12/5,D,Maths,Algebra ,Probability,Easy,2024,Shift 2
509,"Four fair dice are thrown independently 27 times. Then the expected number of times, at least two dice show up a three or a five is",11,12,9,10,A,Maths,Algebra ,Probability,Medium ,2024,Shift 1
510,"If two fair dice are rolled, then the probability that the sum of the numbers on the upper faces is at least 9, is",`1/3,`4/11,`5/18,`5/36,C,Maths,Algebra ,Probability,Easy,2024,Shift 1
511,"The probability, that a year selected at random will have 53 Mondays, is",`1/4,`3/28,`5/28,`3/4,C,Maths,Algebra,Probability,Medium,2024,Shift 2
512,A multiple choice examination has 5 questions. Each question has three alternative answers of which exactly one is correct. The probability that a student will get 4 or more correct answers just by guessing is,17/243,13/243,`11/243,`10/243,C,Maths,Algebra,Probability,Medium,2024,Shift1
513,"The shaded area in the given figure is a solution set for some system of inequalities. The maximum value of the function z=4x+3y
 subject to linear constraints given by the system is",38,36,33,34,B,Maths,Algebra,Linear Programming,Easy,16-05-2024,Shift 2
514,"Maximum value of Z=100x+70y Subject to 2x≥4,y≤3,x+y≤8,x,y≥0 is",800,940,400,710,A,Maths,Algebra,Linear Programming,Medium,16-05-2024,Shift 1
515,"The region represented by the inequations 2x+3y⩽18,x+y⩾10,x⩾0,y⩾0 is",unbounded,"bounded region,but not a singleton set",singleton set,null set,D,Maths,Algebra,Linear Programming,Easy,15-05-2024,Shift 1
516,A production unit makes special type of metal chips by combining copper and brass. The standard weight of the chip must be at least 5 gms. The basic ingredients i.e. copper and brass cost ₹8 and ₹ 5 per gm. The durability considerations dictate that the metal chip must no contain more than 4 gms of brass and should contain minimum 2 gms of copper. Then the minimum cost of the metal chip satisfying the above conditions is,Rs.36,Rs.31,Rs.30,Rs.40,B,Maths,Algebra,Linear Programming,Easy,11-05-2024,Shift 1
517,"The maximum value of z=4x+2y, subject to the constraints 3x+4y ⩾ 12,x+y⩽5,x,y⩾0 is",8,20,24,16,B,Maths,Algebra,Linear Programming,Medium,09-05-2024,Shift 2
518,"The maximum value of z=x+y, subjected to x+y⩽10,5x+3y⩾15,x⩽6,x,y⩾0 ",occurs only at unique point,occurs only at two distinct point,occurs at infinitely many points ,does not exits,C,Maths,Algebra,Linear Programming,Medium,09-05-2024,Shift 1
